Story_ID,Story_Title,Story_Text
1,Kitten’s Choice,"Kitten plays with her new toy.  She loves her new toy. Her brother likes her new toy, too.  When Kitten isn’t playing with it, her brother takes it to play.Kitten is having fun.  Then, she sees a mouse! She wants to chase the mouse.  If she chases the mouse, her brother will take her toy.  Kitten thinks.  She can only choose one thing to play with.  If she picks the mouse, her toy will go away with her brother.  If she picks the toy, the mouse will run away.  Which one should Kitten pick?Kitten runs after the mouse.  She does not see a lot of mice, so that is more fun.  She does not catch the mouse, but she has fun running after him.  Kitten is happy with her choice"
2,Dessert Time! ,"Yum!  It is time for dessert. 
First, Tim gets a cookie. 
Next, Jan gets some cake.  
Then, Ben gets a donut. 
Last, Deb gets some pie. 
Oh no!  There is none left for Sam.  What will he do? 
First, Tim shares his cookie. 
Next, Jan shares her cake. 
Then, Ben shares his donut. 
Last, Deb shares her pie. Yum!  Sam and his friends are happy.  It is time for dessert"
3,A Cold Bear,"Brrrr! It is getting cold. Bear needs to get ready for winter. First, he eats a lot. Next, he finds a den. Then, he fills the den with leaves, so he will stay warm. Last, he eats even more! Is Bear ready for winter? Yes, he is. Winter is here!"
4,At the Zoo ,"First I saw the white bear, then I saw the black; 
Then I saw the camel with a hump upon his back;  
Then I saw the grey wolf, with mutton in his maw; 
Then I saw the wombat waddle in the straw; 
Then I saw the elephant a-waving of his trunk; 
Then I saw the monkeys — mercy, how unpleasantly they smelt!  "
5,Blanket Adventures,"Jake liked to pretend. He draped a blanket over his shoulders. The blanket turned into a robe. Jake had become a king! Jake asked his mom to make waffles for breakfast. He did not think kings ate oatmeal. Jake grew tired of being a king. He laid the blanket out flat on the floor and sat in the middle of 
it. The blanket turned into a magic carpet. Jake made swishing sounds as if he was flying. He leaned one way and then the other pretending to steer. Jake landed his magic carpet and crumpled up the blanket’s edges. The blanket turned into an island in the sea. Jake’s cat became a sea monster! Jake battled the sea monster who kept trying to crawl up on his beach.After the battle, Jake grew hungry. He draped the blanket between two chairs to make a tent. Jake asked his mom to cook hot dogs for lunch. His mom always made hot dogs when they went camping. 
After eating the hot dogs, Jake grew tired of camping. He draped the blanket over his shoulders. This time the blanket turned into a cape. Jake became a superhero! He grabbed the corners of his cape and spread out his arms.He flew through the house looking for someone to rescue. Jake found his sister reading a book, but she did not want to be rescued.  
Jake felt a tug on his cape. His dog Bandit had grabbed the end of Jake’s blanket. Jake pulled on one end of the blanket. Bandit pulled on the other end of the blanket. The blanket turned into a rope in a game of tug-of-war. 
Jake grew tired, climbed into bed and took a nap. On top of him, his blanket turned into a 
blanket."
6,The New Bicycle,"Emma has a new bicycle.  It is bright pink and shiny.  
It was a gift from her uncle.  He hid it behind a bush to surprise her.  
When Emma looked behind the bush and saw the bicycle, she jumped for joy.  It was just what she wanted.  She gave her uncle a big hug. 
She loves her new bicycle, and she loves her uncle. 
 "
7,Penny’s Pet Problem,"More than anything in the world, Penny wanted a pet. She thought of asking for a puppy. She thought of asking for a kitten. She thought of asking for a hamster. Above all else, Penny knew she wanted a pony. 
One morning, Penny dared to ask her mom for a pony.You don’t see many ponies living in apartments,” Penny’s mom said. “Besides, a pony needs a place to sleep.” 
“I could share my bed with him,” Penny said. “I don’t think so,” Penny’s mom replied. “What if your pony kicked off all the blankets. Besides, a pony needs a place to eat.” 
“He could eat at the table with us,” Penny said. 
“I don’t think so,” Penny’s mom replied. “What if your pony had poor table manners? Besides, a pony needs a place to spend time outside.” 
“He could spend time on our balcony,” Penny said. “I don’t think so,” Penny’s mom replied. “We live on the fourth floor. What if your pony is afraid of heights?”“So, I guess this means I can’t have a pony,” Penny said. 
“It means we can’t keep a pony in our apartment,” Penny’s mom replied. “But I know where we can visit some ponies.” “Really?” Penny asked. 
“I know a farmer who just bought two ponies. If we ask, I bet he will even let you feed and brush them. Do you know what else?” “What?” Penny asked. 
“His barn cat just had kittens. I’ve seen a lot of cats living in apartments.” "
8,A Puzzle a Day,"Anna and her family love doing puzzles.  Anna is best at little puzzles.  
Anna and her brother work on medium size puzzles together.  Anna’s brother likes puzzles with cars in them. 
When the whole family does a puzzle, they do really big puzzles.  It can take them a week to finish a really big puzzle.  Last year they did a puzzle with 500 pieces! 
Anna tries to finish one small puzzle a day by herself.   Her puzzles have about 50 pieces.  
They all glue their favorite puzzles together and frame them.  The puzzles look so nice on the wall. "
9,The Thunderstorm,"The kids were outside playing catch.  They heard a rumble in the sky.  
They didn’t want to stop playing, but they knew it wasn’t safe to be out in a storm.  Also, they did not want to get wet. 
They decided to go inside and play a board game.  They loved listening to the thunder as they played their game.  
The kids went outside again after the storm had passed.  They saw a rainbow! "
10,A Visit to the Water Park,"There is a new water park in town.  We go there on the first day of summer.  
It has pools and water slides. There are sprinklers too.  The slides are scary at first.  After the first ride, we love the water slides.  
The sprinklers are cool on hot days.  One of the pools makes its own waves.  All the kids try to surf the waves.  It is really fun. 
The water park can be very crowded.  There are many kids and adults, but they do not allow pets. 
We really like the ice cream at the snack bar.  They also sell pop and donuts. 
We all love the new water park.  ."
11,Making Cookies,"Greg likes to help his mom make cookies. Chocolate chip cookies are his favorite. His mom likes them too. He adds the chocolate chips to the batter. Then he stirs them in. He forms the batter into balls and places them on a baking sheet. His mom places the baking sheet into the oven. When the cookies are in the oven, Greg licks the last bits of batter from the bowl. He can hardly wait for the cookies to be ready. In 30 minutes the cookies are finished baking. The cookies are hot and yummy."
12,Mule’s Thoughts,"A silly little mule Sat on a milking stool And tried to write a letter to his father. But he couldn’t find the ink, So he said: “I rather think This writing letters home is too much bother.”"
13,Monster Learns Rules,"One day, a monster came to our classroom. He didn’t know any of the rules! We had to show him how to sit on the carpet. We had to show him how to use a quiet voice. We had to show him how to use supplies. We went to P.E. class. Monster tried to sit on the carpet. No, Monster! We don’t have to sit on a carpet in the gym! Monster tried to use a quiet voice. No, Monster! We don’t have to be quiet in the gym. Monster didn’t know what to do with the supplies. We showed him how to throw a ball.We went to the lunchroom. Monster sat at a table. 
Good job, Monster! Monster used a loud voice. No, 
Monster! We can’t be too loud in the lunchroom. 
Monster tried to throw his food. No, Monster! We 
can’t throw food. Monster was confused. Poor 
Monster.
We went to our classroom. We wrote the rules for the 
different places at school. Rules are different in 
different places. It is tricky but it keeps us safe!"
14,All About Bears ,"There are many kinds of bears.  Some bears live in 
warm places, like sun bears.  Some bears live in cold 
places, like polar bears.  Bears are different colors, 
too.  They can be white, brown, or black.  Some 
bears eat plants.  Some bears eat animals.  
Bears have long snouts, or noses.  They have claws 
and fur, too.  Baby bears are called cubs.  
When it gets cold, bears sleep in dens for the winter. 
Dens can be in trees or caves.  When they are 
sleeping all winter, it is 
called hibernating.  Bears 
do not eat when 
they are 
hibernating. "
15,The Puppy and the Kitten,"My family just adopted a puppy and a kitten from the animal shelter. They were so young, they did not even have names yet. We had to think of good names for them. The puppy likes to jump up. The kitten likes to curl up in our laps. “What do you want to name them?” asked Mom. My sister said, “Pounce for the puppy and Cuddles for the kitten.” We all thought those names were perfect."
16,The Boat Parade,"The boats are floating along the lakeshore. It is the summer boat parade. There are motorboats, rowboats and sailboats. Jessica’s favorite is the yellow motor boat with the flag. The rowboat decorated with flowers is Lisa’s favorite. Tony likes the purple sailboat. The boats float by one at a time. The people on the boats wave at the crowds. The crowds cheer the boats. The boat parade is so much fun to watch. It is the best part of the summer."
17,Peanuts and Popcorn,"John is going to a baseball game with his aunt. He can’t wait to get there. It is the first game of the season. The stadium is almost full. He loves to watch baseball, but his favorite part of going to games is eating the snacks. There are many different snacks at baseball games. A man in a red hat walks up and down the aisles selling peanuts and popcorn. Guess which is John’s favorite. John likes them both. He especially likes mixing peanuts and popcorn together. If he is really hungry he will have a hot dog."
18,Shoveling Snow,I want a new toy. Mom says toys cost money. How can I get money? I look outside. There is a lot of snow! Mom says I can earn money if I shovel our driveway. I do. It is fun! I do not have enough money for my new toy. I look around. Mrs. Jen has a shovel. Can I shovel her driveway? She says yes! I almost have enough money for my new toy. Mr. Tom has a shovel. Can I shovel his driveway? He says yes! I can get my new toy!
19,Homework or Video Games,"Brad loves to play video games. His favorites are Disney games. Brad got home from school one day, and his mom asked him if he had homework. He did, but he thought about saying no because he wanted to play his games. Then he changed his mind. He knew that if he lied, he would lose his games for a week. He did his homework first and still had time to play two games before dinner. He knows it is best to be honest."
20,Apples ,"Do you like apples?  Apples can 
be red, yellow, or green.  Each 
color tastes different.  They are 
fruit.  You can make apples into 
treats.  
Apples grow on trees.  They finish 
growing in the fall.  Then you can pick them to eat. 
When you pick an apple, you twist it and then pull it 
off the tree.  
There are five parts of an apple.  The outside is the 
skin.  The inside is the flesh.  There are seeds inside of 
the apple.  The stem is on top.  Some apples have 
leaves by the stem.  What else do you know about 
apples? 
"
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
